M,N,K,,"triton_rowwise-persistent
TFLOPS","triton_rowwise-non-persistent
TFLOPS",,"ck_rowwise
TFLOPS","scaled_mm
TFLOPS",,"triton_rowwise_non_persistent
+ AMD tuning
TFLOPS"
4096,7168,8192,,497.466,739.599,,989.262,1103.589,,820.302
4096,7168,16384,,543.798,754.568,,1028.698,1120.605,,848.273
4096,8192,1024,,350.438,537.499,,722.392,676.84,,596.987
4096,8192,3584,,416.115,649.048,,970.71,1041.535,,787.119
4096,8192,8192,,433.418,705.397,,1056.547,1128.219,,815.516
4096,8192,16384,,450.113,728.942,,1089.524,1185.556,,870.396
4096,16384,1024,,407.576,572.195,,667.024,794.219,,641.294
4096,16384,3584,,493.293,698.285,,979.148,1049.229,,817.667
4096,16384,8192,,494.279,695.306,,1049.041,1127.811,,812.777
4096,16384,16384,,491.528,733.407,,1025.211,981.926,,802.484
8192,1280,1024,,234.751,356.538,,517.997,506.412,,454.076
8192,1280,3584,,273.573,479.33,,633.149,816.968,,614.188
8192,1280,8192,,290.372,490.969,,685.687,967.257,,628.808
8192,1280,16384,,290.266,514.864,,858.332,1060.915,,645.013
8192,2304,1024,,392.402,531.158,,649.403,640.83,,615.279
8192,2304,3584,,489.709,735.401,,569.556,918.695,,845.759
8192,2304,8192,,506.48,728.775,,619.509,972.35,,871.621
8192,2304,16384,,554.518,747.786,,645.521,983.013,,920.665
8192,7168,1024,,425.853,579.339,,738.603,764.139,,697.823
8192,7168,3584,,484.156,706.173,,836.509,1024.999,,865.749
8192,7168,8192,,486.727,748.89,,988.602,1119.509,,903.639
8192,7168,16384,,531.383,742.898,,1006.035,1103.501,,928.61
8192,8192,1024,,413.168,573.235,,733.731,791.487,,588.284
8192,8192,3584,,476.69,694.861,,978.259,1001.223,,838.801
8192,8192,8192,,475.238,741.516,,1062.414,1083.692,,841.375
8192,8192,16384,,438.395,693.083,,1073.967,1081.692,,818.093
8192,16384,1024,,401.958,542.492,,673.992,842.617,,687.706
8192,16384,3584,,426.334,701.379,,987.186,1063.188,,834.777
8192,16384,8192,,99.206,743.345,,1060.756,1115.914,,898.318
8192,16384,16384,,320.536,732.32,,1021.981,1051.102,,862.687
16384,1280,1024,,308.231,499.416,,602.582,587.176,,550.737
16384,1280,3584,,357.38,557.23,,823.537,840.649,,604.799
16384,1280,8192,,373.982,616.499,,878.224,1050.385,,716.429
16384,1280,16384,,375.453,648.536,,699.533,1051.929,,766.458
16384,2304,1024,,396.366,570.245,,721.812,649.629,,646.938
16384,2304,3584,,501.02,746.11,,729.762,918.042,,775.424
16384,2304,8192,,506.295,735.592,,793.488,966.049,,845.192
16384,2304,16384,,504.192,721.857,,811.642,944.517,,891.283
16384,7168,1024,,430.051,584.314,,749.498,848.501,,642.996
16384,7168,3584,,493.315,703.653,,983.22,1065.596,,878.348
16384,7168,8192,,480.981,728.791,,1054.948,1126.651,,892.91
16384,7168,16384,,508.298,690.019,,1055.637,1144.112,,925.918
16384,8192,1024,,422.705,540.869,,742.443,845.58,,680.576
16384,8192,3584,,485.185,698.487,,982.521,1065.021,,862.318
16384,8192,8192,,489.537,723.75,,1052.473,1133.813,,880.211
16384,8192,16384,,510.966,735.773,,1053.823,1178.407,,899.595
16384,16384,1024,,433.438,585.124,,686.97,846.97,,689.856
16384,16384,3584,,473.333,695.151,,985.077,1061.055,,835.618
16384,16384,8192,,496.258,734.592,,1038.418,1096.674,,884.26
16384,16384,16384,,517.928,733.035,,1014.192,1050.859,,849.969
